clues,clues_nombre,jurisdiccion,municipio,localidad,tipologia,empresa_clave,tipo_clues,empresa_nombre,director_unidad,administrador,encargado_almacen,coordinador_comision_abasto,lugar_entrega
CSSSA004945,HOSPITAL GENERAL PICHUCALCO,5,PICHUCALCO,PICHUCALCO,HOSPITAL GENERAL,disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dra. Trinidad Vera Juan,LCP. Mario Gutierrez Velasco,Lic. Javier Diaz Eliaz,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen Hospital Pichucalco
CSSSA018875,HOSPITAL GENERAL BICENTENARIO VILLAFLORES,4,VILLAFLORES,VILLAFLORES,HOSPITAL GENERAL,exfarma,3,"EXFARMA, S.A. DE C.V.",DR. MARCO ANTONIO MORENO GOMEZ,C.P. SERGIO OVANDO LOPEZ,LIC. MAYRA ALEJANDRA SIBAJA DOMINGUEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL GENERAL BICENTENARIO DE VILLAFLORES
CSSSA007540,HOSPITAL REGIONAL DR. RAFAEL PASCASIO GAMBOA TUXTLA,1,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,HOSPITAL GENERAL,exfarma,3,"EXFARMA, S.A. DE C.V.",DR. ZEIN NAZAR MORALES,C.P. CARLOS LUIS DE LOS SANTOS DOMINGUEZ,LIC. RAMON GONZALO LOPEZ AGUILAR,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL DE LA MUJER TUXTLA
CSSSA019645,H. B. C. DE OCOSINGO,9,OCOSINGO,OCOSINGO,HOSPITAL BÁSICO COMUNITARIO,disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. CARLOS MARTÍN RÍOS AGUILAR,LIC. MARCO ANTONIO ZENTENO SANCHEZ,LIC. ELISEO PINTO MORRISON,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,TUXTLA GUTIERREZ; CHIAPAS
CSSSA000453,HOSPITAL GENERAL JUÁREZ DE ARRIAGA,8,ARRIAGA,ARRIAGA,HOSPITAL GENERAL,disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dr. Alejandro Exzacarias Farrera,Luis Ivan Martinez Lopez,Nury Yaneth Hernandez Lopez,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Hospital de Arriaga
CSSSA002611,HOSPITAL GENERAL HUIXTLA,7,HUIXTLA,HUIXTLA,HOSPITAL GENERAL,exfarma,3,"EXFARMA, S.A. DE C.V.",Dr. Víctor Hugo Mendoza Mérida,Lic Mayra Roblero Pacheco,Ever Chacón Baneco,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen de Hospital de Huixtla
CSSSA017382,ALMACÉN JURISDICCIONAL (PALENQUE),6,PALENQUE,PALENQUE,"ALMACENES
",disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Director,Administrador,Encargado,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen Jurisdiccional Palenque
CSSSA006934,H. B. C. DE TILA,6,TILA,TILA,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. SERGIO ROBERTO SOBRINO RAMÍREZ,LIC. NELSON RAMÍREZ VÁZQUEZ,LIC. ERICK E. RAMÍREZ VÁZQUEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL H.B.C. DE TÍLA
CSSSA007074,HOSPITAL GENERAL DR. JUAN C. CORZO TONALÁ,8,TONALÁ,TONALÁ,"HOSPITAL GENERAL
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR SERGIO LUIS OROZCO CARRASCO,C.P ELEASIN RAMIREZ GUTIERREZ,C.P GUILLERMO HERNANDEZ AGUILAR,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL HOSPITAL GENERAL DE TONALA
CSSSA017591,RAFAEL PASCACIO GAMBOA,5,REFORMA,RAFAEL PASCACIO GAMBOA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA018776,HOSPITAL DE LA MUJER COMITÁN,3,COMITÁN DE DOMÍNGUEZ,COMITÁN DE DOMÍNGUEZ,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. FRANCISCO JAVIER TREJO ESQUINCA,LIC. GLORIA AMPARO GUILLEN DE LA VEGA,ING. HECTOR EDUARDO SANCHEZ MATAMOROS,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL HOSPITAL DE LA MUJER COMITAN
CSSSA005773,HOSPITAL DE LA MUJER SAN CRISTÓBAL DE LAS CASAS,2,SAN CRISTÓBAL DE LAS CASAS,SAN CRISTÓBAL DE LAS CASAS,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. FRANCISCO ARTURO MARISCAL OCHOA,LIC. ROGER ULISES MOLINA ROSALES,LIC. CARLOS ALBERTO COSTA GORDILLO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,SAN CRISTOBAL DE LAS CASAS; CHIAPAS
CSSSA001030,HOSPITAL GENERAL MARÍA IGNACIA GANDULFO COMITAN,3,COMITÁN DE DOMÍNGUEZ,COMITÁN DE DOMÍNGUEZ,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",Dr. Jorge Antonio Yañez Fuentes,C.P. Karla Morales Guillen,C.P. Alejandra Guadalupe Gonzalez De Paz,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Hospital General María Ignacia Gandulfo
CSSSA018764,HOSPITAL DE LAS CULTURAS SAN CRISTOBAL DE LAS CASAS,2,SAN CRISTÓBAL DE LAS CASAS,SAN CRISTÓBAL DE LAS CASAS,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. MARCO ANTONIO FLORES PEREZ,CP. DANIEL ALEJANDRO JIMENEZ LOPEZ,LIC. ROCIO DEL CARMEN SANCHEZ PÉREZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,"HOSPITAL DE LAS CULTURAS, SAN CRISTOBAL DE LAS CASAS."
CSSSA018752,H. B. C. DE TEOPISCA,2,TEOPISCA,TEOPISCA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. DARVIN ALBERTO RODRIGUEZ MORALES,LIC. LEONARDO FABIAN VALDEZ MORENO,LIC. NALDI ALFARO PEREZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL BÁSICO COMUNITARIO TEOPISCA
CSSSA005020,PIJIJIAPAN,8,PIJIJIAPAN,PIJIJIAPAN,"CENTRO DE SALUD CON HOSPITALIZACIÓN
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000045,H. B. C. DR. MANUEL VELASCO SUAREZ ACALA,1,ACALA,ACALA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DRA. NOEMI HERNÁNDEZ PÉREZ,TERESA DE JÉSUS RAMÍREZ,OCTAVIO VALSECA PINTO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACÉN DEL HOSPITAL ACALA
CSSSA018740,H. B. C.  DR. RAFAEL ALFARO GONZÁLEZ PIJIJIAPAN,8,PIJIJIAPAN,PIJIJIAPAN,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dr Pedro Hugo Ibarra Campero,Patricia Maria Velazquez Gutierrez,Antonio de Jesus Martinez Hernandez,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacén del Hospital Basico Comunitario de Pijijiapan
CSSSA000832,H. B. C. DE CINTALAPA DE FIGUEROA,1,CINTALAPA,CINTALAPA DE FIGUEROA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",Dr. Ramdoll Iván Hernández Rodriguez,C.P. Zoila del Carmen Pitalua Alcantar,Lic José de Jesús Salinas Santiago,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen de HBC Cintalapa
CSSSA017336,ALMACÉN JURISDICCIONAL (TUXTLA GUTIÉRREZ),1,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. FLORENTINO ORLANDO GARCIA MORALES,CP. MANUEL GOMEZ ESPINOSA,ING. BERENICE ARNAEZ LAZARO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL TUXTLA GUTIERREZ
CSSSA017406,ALMACÉN JURISDICCIONAL (TONALÁ),8,TONALÁ,TONALÁ,"ALMACENES
",disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DIRECTOR: DR. ALFREDO COUTIÑO MENDEZ,ADMINISTRADOR: LAE. HECTOR ISAAC PENAGOS SANTIAGO,ENCARGADO: RAUL BALCAZAR HERNANDEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL TONALA
CSSSA017341,ALMACÉN JURISDICCIONAL (SAN CRISTÓBAL DE LAS CASAS),2,SAN CRISTÓBAL DE LAS CASAS,SAN CRISTÓBAL DE LAS CASAS,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. OCTAVIO ALBERTO COUTIÑO NIÑO,LIC. RAFAEL MONTERO CASTILLA,C.P. JESUS GUADALUPE HERNANDEZ OSEGUERA,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,"ALMACEN JURISDICCIONAL SAN CRISTOBAL DE LAS CASAS, CALLE PÍPILA No. 41 BARRIO DE FÁTIMA"
