id,pedido_disur,pedido_exfarma,requisicion,lote,clave,descripcion,marca_disur,marca_exfarma,unidad,cantidad,precio_disur,precio_exfarma,tipo,cause
1,P-16-0001,P-16-0005,299,1,010.000.0101.00,"ÁCIDO ACETILSALICÍLICO TABLETA. Cada tableta contiene: Ácido acetilsalicÍlico 500 mg.",GENERICO,GENERICO,"Envase con 20 tabletas.",1,6.25,6.25,1,1
2,P-16-0001,P-16-0005,299,2,010.000.0103.00,"ÁCIDO ACETILSALICÍLICO TABLETA SOLUBLE O EFERVESCENTE. Cada tableta soluble o efervescente contiene: Ácido acetilsalicÍlico 300 mg. ",GENERICO,GENERICO,"Envase con 20 tabletas solubles o efervescentes.",1,3.88,3.88,1,1
3,P-16-0001,P-16-0005,299,3,010.000.0104.00,"PARACETAMOL TABLETA. Cada tableta contiene: Paracetamol 500 mg.",GENERICO,GENERICO,"Envase con 10 tabletas.",1,2.52,2.52,1,1
4,P-16-0001,P-16-0005,299,4,010.000.0105.00,"PARACETAMOL SUPOSITORIO. Cada supositorio contiene: Paracetamol 300 mg.",GENERICO,GENERICO,"Envase con 3 supositorios.",1,3.40,3.40,1,1
5,P-16-0001,P-16-0005,299,5,010.000.0106.00,"PARACETAMOL SOLUCIÓN ORAL. Cada ml. contiene: Paracetamol 100 mg. Envase con 15 ml, gotero calibrado a 0.5 y 1 ml, integrado o adjunto al envase que sirve de tapa.",GENERICO,GENERICO,ENVASE,1,3.05,3.05,1,1
6,P-16-0001,P-16-0005,299,6,010.000.0108.00,"METAMIZOL SÓDICO COMPRIMIDO. Cada comprimido contiene: Metamizol sÓdico 500 mg.",GENERICO,GENERICO,"Envase con 10 comprimidos.",1,3.09,3.09,1,1
7,P-16-0001,P-16-0005,299,7,010.000.0109.00,"METAMIZOL SÓDICO, SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Metamizol sÓdico 1g.",GENERICO,GENERICO,"Envase con 3 ampolletas con 2 ml.",1,6.20,6.20,1,1
8,P-16-0001,P-16-0005,299,8,010.000.0204.00,"ATROPINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Sulfato de atropina 1 mg. Envase con 50 ampolletas con 1 ml.",GENERICO,GENERICO,Envase,1,93.22,93.22,1,1
9,P-16-0001,P-16-0005,299,9,010.000.0233.00,"SEVOFLURANO LÍQUIDO O SOLUCIÓN. Cada envase contiene: Sevoflurano 250 ml. Envase con 250 ml. de lÍquido o soluciÓn.",GENERICO,GENERICO,Envase,1,909.05,909.05,1,1
10,P-16-0001,P-16-0005,299,10,010.000.0234.00,"DESFLURANO LÍQUIDO. Cada envase contiene: Desflurano 240 ml. Envase con 240 ml.",SUPRANE,SUPRANE,Envase,1,1633.50,1633.50,1,1
11,P-16-0001,P-16-0005,299,11,010.000.0246.00,"PROPOFOL EMULSIÓN INYECTABLE. Cada ampolleta o frasco Ámpula contiene: Propofol 200 mg. En emulsiÓn con edetato disÓdico (dihidratado). Envase con 5 ampolletas o frascos Ámpula de 20 ml.",GENERICO,GENERICO,Envase,1,629.99,629.99,1,1
12,P-16-0001,P-16-0005,299,12,010.000.0247.00,"DEXMEDETOMIDINA SOLUCIÓN INYECTABLE. Cada frasco Ámpula contiene: Clorhidrato de dexmedetomidina 200 µg. Envase con 1 frasco Ámpula.",GENERICO,GENERICO,Envase,1,877.50,877.50,1,1
13,P-16-0001,P-16-0005,299,13,010.000.0252.00,"CLORURO DE SUXAMETONIO, SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Cloruro de suxametonio 40 mg. Envase con 5 ampolletas con 2 ml.",GENERICO,GENERICO,Envase,1,203.53,203.53,1,1
14,P-16-0001,P-16-0005,299,14,010.000.0254.00,"VECURONIO SOLUCIÓN INYECTABLE. Cada frasco Ámpula con liofilizado contiene: Bromuro de vecuronio 4 mg. Envase con 50 frascos Ámpula y 50 ampolletas con 1 ml. de diluyente (4 mg. /ml.).",GENERICO,GENERICO,Envase,1,745.06,745.06,1,1
15,P-16-0001,P-16-0005,299,15,010.000.0260.02,"LIDOCAÍNA GEL. Cada ml. contiene: Clorhidrato de lidocaÍna 20 mg. Envase con 30 ml.",GENERICO,GENERICO,Envase,1,89.29,89.29,1,1
16,P-16-0001,P-16-0005,299,16,010.000.0261.00,"LIDOCAÍNA SOLUCIÓN INYECTABLE AL 1%. Cada frasco Ámpula contiene: Clorhidrato de lidocaÍna 500 mg. Envase con 5 frascos Ámpula de 50 ml.",GENERICO,GENERICO,Envase,1,74.12,74.12,1,1
17,P-16-0001,P-16-0005,299,17,010.000.0262.00,"LIDOCAÍNA SOLUCIÓN INYECTABLE AL 2%. Cada frasco Ámpula contiene: Clorhidrato de lidocaÍna 1g. Envase con 5 frascos Ámpula con 50 ml.",GENERICO,GENERICO,Envase,1,78.69,78.69,1,1
18,P-16-0001,P-16-0005,299,18,010.000.0263.00,"LIDOCAÍNA SOLUCIÓN INYECTABLE AL 5%. Cada ampolleta contiene: Clorhidrato de lidocaÍna 100 mg. Glucosa monohidratada 150 mg. Envase con 50 ampolletas con 2 ml.",GENERICO,GENERICO,Envase,1,215.55,215.55,1,1
19,P-16-0001,P-16-0005,299,19,010.000.0264.00,"LIDOCAÍNA SOLUCIÓN AL 10%. Cada 100 ml. contiene: LidocaÍna 10.0 g. Envase con 115 ml. con atomizador manual.",GENERICO,GENERICO,Envase,1,81.76,81.76,1,1
20,P-16-0001,P-16-0005,299,20,010.000.0265.00,"LIDOCAÍNA, EPINEFRINA SOLUCIÓN INYECTABLE AL 2%. Cada frasco Ámpula contiene: Clorhidrato de lidocaÍna 1 g. Epinefrina (1:200000) 0.25 mg. Envase con 5 frascos Ámpula con 50 ml.",GENERICO,GENERICO,Envase,1,96.17,96.17,1,1
21,P-16-0001,P-16-0005,299,21,010.000.0267.00,"LIDOCAÍNA, EPINEFRINA SOLUCIÓN INYECTABLE AL 2%. Cada cartucho dental contiene: Clorhidrato de lidocaÍna 36 mg. Epinefrina (1:100000) 0.018 mg. Envase con 50 cartuchos dentales con 1.8 ml.",GENERICO,GENERICO,Envase,1,77.53,77.53,1,1
22,P-16-0001,P-16-0005,299,22,010.000.0269.00,"ROPIVACAÍNA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Clorhidrato de ropivacaÍna monohidratada equivalente a 40 mg. de clorhidrato de ropivacaÍna. Envase con 5 ampolletas con 20 ml.",GENERICO,GENERICO,Envase,1,335.04,335.04,1,1
23,P-16-0001,P-16-0005,299,23,010.000.0271.00,"BUPIVACAÍNA SOLUCIÓN INYECTABLE. Cada ml. contiene: Clorhidrato de bupivacaÍna 5 mg. Envase con 30 ml.",GENERICO,GENERICO,Envase,1,41.77,41.77,1,1
24,P-16-0001,P-16-0005,299,24,010.000.0291.00,"NEOSTIGMINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Metilsulfato de neostigmina 0.5 mg. Envase con 6 ampolletas con 1 ml.",GENERICO,GENERICO,Envase,1,78.77,78.77,1,1
25,P-16-0001,P-16-0005,299,25,010.000.0402.00,"CLORFENAMINA TABLETA. Cada tableta contiene: Maleato de clorfenamina 4.0 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,2.31,2.31,1,1
26,P-16-0001,P-16-0005,299,26,010.000.0405.00,"DIFENHIDRAMINA JARABE. Cada 100 mililitros contienen: Clorhidrato de difenhidramina 250 mg. Envase con 60 ml.",GENERICO,GENERICO,Envase,1,2.49,2.49,1,1
27,P-16-0001,P-16-0005,299,27,010.000.0406.00,"DIFENHIDRAMINA SOLUCIO`N INYECTABLE. Cada frasco Ámpula contiene: Clorhidrato de difenhidramina 100 mg. Envase con frasco Ámpula de 10 ml.",GENERICO,GENERICO,Envase,1,14.13,14.13,1,1
28,P-16-0001,P-16-0005,299,28,010.000.0408.00,"CLORFENAMINA JARABE. Cada mililitro contiene: Maleato de clorfenamina 0.5 mg. Envase con 60 ml.",GENERICO,GENERICO,Envase,1,3.31,3.31,1,1
29,P-16-0001,P-16-0005,299,29,010.000.0426.00,"AMINOFILINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Aminofilina 250 mg. Envase con 5 ampolletas de 10 ml.",GENERICO,GENERICO,Envase,1,17.54,17.54,1,1
30,P-16-0001,P-16-0005,299,30,010.000.0429.00,"SALBUTAMOL SUSPENSIÓN EN AEROSOL. Cada inhalador contiene: Salbutamol 20 mg. o Sulfato de salbutamol equivalente a 20 mg. de salbutamol. Envase con",GENERICO,GENERICO,Envase,1,15.35,15.35,1,1
31,P-16-0001,P-16-0005,299,31,010.000.0431.00,"SALBUTAMOL JARABE. Cada 5 ml. contienen: Sulfato de salbutamol equivalente a 2 mg. de salbutamol. Envase con 60 ml.",GENERICO,GENERICO,Envase,1,2.89,2.89,1,1
32,P-16-0001,P-16-0005,299,32,010.000.0432.00,"TERBUTALINA SOLUCIÓN INYECTABLE. Cada ml. contiene: Sulfato de terbutalina 0.25 mg. Envase con 3 ampolletas.",GENERICO,GENERICO,Envase,1,17.41,17.41,1,1
